date,temp_hi,temp_avg,temp_lo,dew_hi,dew_avg,dew_low,hum_hi,hum_avg,hum_lo,sealvl_hi,sealvl_avg,sealvl_lo,visib_hi,visib_avg,visib_lo,wind_hi,wind_avg,precip_sum,events
1/1/2017,46,44,41,28,22,16,50,41,31,30.44,30.17,29.89,10,10,10,12,5,0,
1/2/2017,39,38,37,38,34,23,96,83,51,30.5,30.41,30.26,10,7,2,15,9,0.2,Rain
1/3/2017,43,41,39,43,40,38,100,98,96,30.27,29.8,29.49,10,4,2,17,12,0.59,Rain
1/4/2017,52,44,34,42,34,10,100,74,30,29.73,29.52,29.44,10,9,5,17,6,0,
1/5/2017,33,30,27,15,10,7,52,42,38,30,29.92,29.75,10,10,10,13,8,0,
1/6/2017,33,29,25,25,18,7,92,66,39,30.27,30.04,29.92,10,6,0,10,5,0.05,"Fog , Snow"
1/7/2017,26,23,20,18,14,4,91,67,42,30.32,30.2,30.11,10,3,0,17,8,0.32,"Fog , Snow"
1/8/2017,25,21,16,8,4,0,68,52,35,30.6,30.34,30.16,10,10,8,18,9,0,
1/9/2017,23,19,14,9,4,0,59,52,45,30.76,30.68,30.61,10,10,10,13,5,0,
1/10/2017,46,34,21,39,22,9,82,63,43,30.64,30.49,30.19,10,10,10,14,5,0,
1/11/2017,52,47,42,45,40,36,93,74,54,30.33,30.24,30.16,10,7,2,16,6,0.52,Rain
1/12/2017,66,57,47,52,50,46,93,78,63,30.16,30.07,29.97,10,10,5,16,8,0.05,Rain
1/13/2017,62,47,32,53,29,13,80,55,30,30.69,30.41,30.09,10,10,10,17,7,0,
1/14/2017,34,31,28,29,23,12,92,69,45,30.7,30.51,30.31,10,5,0,9,4,0.12,"Fog , Snow"
1/15/2017,38,34,30,28,22,19,85,67,48,30.41,30.34,30.27,10,10,8,10,4,0,
1/16/2017,43,37,30,25,21,16,63,53,43,30.47,30.39,30.28,10,10,10,13,5,0,
1/17/2017,42,40,38,38,35,25,100,77,54,30.27,30.13,29.96,10,4,2,15,5,0.35,Rain
1/18/2017,41,40,38,39,37,36,100,90,79,30.06,29.96,29.87,10,8,2,14,6,0.06,Rain
1/19/2017,49,44,39,36,34,32,85,71,56,30.07,30.02,29.99,10,10,10,12,4,0,
1/20/2017,45,43,40,40,36,30,93,79,65,30.03,29.96,29.92,10,8,3,10,4,0.1,Rain
1/21/2017,49,45,41,45,42,40,100,90,80,29.94,29.85,29.78,7,4,1,12,4,0,
1/22/2017,48,46,43,45,43,40,100,91,82,29.83,29.75,29.68,10,4,0,21,7,0.05,"Fog , Rain"
1/23/2017,44,40,36,40,35,30,100,85,70,29.85,29.72,29.46,10,8,2,33,18,1.16,Rain
1/24/2017,38,37,35,36,35,30,100,93,85,29.47,29.38,29.31,10,5,1,24,10,1.18,Rain
1/25/2017,51,44,36,34,30,27,76,63,50,29.67,29.6,29.49,10,10,10,18,7,0,
1/26/2017,56,50,43,43,33,25,80,61,42,29.57,29.45,29.33,10,10,6,21,7,0.02,Rain
1/27/2017,43,40,36,27,24,19,55,47,39,29.66,29.62,29.57,10,10,10,18,9,0,
1/28/2017,39,37,34,23,20,19,59,52,44,29.75,29.68,29.63,10,10,10,16,8,0,
1/29/2017,43,39,35,24,18,11,59,43,27,29.73,29.71,29.66,10,10,10,15,6,0,
1/30/2017,37,34,30,19,12,7,59,46,32,29.97,29.81,29.73,10,10,10,15,6,0,
1/31/2017,34,30,26,29,22,7,92,64,36,30.01,29.87,29.75,10,5,0,12,4,0.06,"Fog , Snow"
2/1/2017,47,40,33,29,26,23,82,60,38,30.04,29.93,29.84,10,10,7,16,6,0,
2/2/2017,45,39,32,27,20,14,64,46,28,30.19,30.08,30.01,10,10,10,16,5,0,
2/3/2017,33,30,26,11,9,4,46,39,31,30.25,30.18,30.09,10,10,10,17,7,0,
2/4/2017,34,28,22,8,5,2,47,38,28,30.4,30.31,30.23,10,10,10,16,8,0,
2/5/2017,43,37,31,22,17,8,52,44,36,30.24,29.99,29.83,10,10,10,16,7,0,
2/6/2017,49,43,36,34,24,16,70,51,31,30.15,30.05,29.93,10,10,8,13,5,0,
2/7/2017,42,39,36,38,36,33,100,85,70,29.99,29.87,29.6,9,3,0,15,7,0.27,"Fog , Rain"
2/8/2017,62,50,38,47,38,29,100,73,46,29.73,29.61,29.53,10,6,1,13,5,0.03,Rain
2/9/2017,44,32,19,30,21,0,100,71,41,30.08,29.65,29.53,10,4,0,23,12,1.16,"Fog , Snow"
2/10/2017,32,26,19,19,10,4,56,46,36,30.23,30.17,30.09,10,9,2,16,9,T,Snow
