Title,Rating,Academy Awards,Actors,Categories,Detailed_Release,Directors,Dist,Distributor Long Name,Year(DVD/Video Release Date),Golden Globes,Language,Producers,Production Companies,Quarter(Release Date),Sound Formats,Visual Formats,Writers,Total Cume,Total DVD/Video Release Window,Total Locs At Opening,Total Locs At Widest Release,Total Opening 7 Day Gross,Total Opening Day Gross,Total Opening Wknd Avg,Total Opening Wknd Gross,Total Opening Wknd Locs,Total Run Time
"assassination of jesse james, the",r,,"brad pitt, brooklynn proulx, casey affleck, jeremy renner, mary-louise parker, paul schneider, sam rockwell, sam shepard, zooey deschanel","drama, action, western",9/21/2007,andrew dominik,wb,warner bros.,2008,,english,"brad pitt, david valdes, dede gardner, jules daly, ridley scott","plan b entertainment, scott free productions",Q3 2007,quad,scope,andrew dominik,"3,909,149",137,5,301,"208,386","44,521","29,562","147,812",5,160
dragonslayer,nr,,,documentary,11/4/2011,tristan patterson,ind,independent,,,english,"christine vachon, john baker",,Q4 2011,stereo,flat,,0,0,0,0,0,0,0,0,0,74
met opera: otello,nr,,,special events,10/27/2012 (sat),event director,fthm,fathom events,,,,,,Q4 2012,,,,0,0,0,0,0,0,0,0,0,0
finding normal,nr,,,documentary,7/27/2007,brian lindstrom,ind,independent,,,english,,,Q3 2007,,,,0,0,0,0,0,0,0,0,0,0
siren,,,"chase williamson, hannah fierman, justin welborn",horror,12/2/2016,gregg bishop,ind,independent,2016,,english,gary binkow,,Q4 2016,,,david bruckner,0,4,0,0,0,0,0,0,0,82
tyler perry's i can do bad all by myself,pg13,,"adam rodriguez, brian j. white, frederick siglar, gladys knight, hope olaide wilson, kwesi boakye, mary j. blige, taraji p. henson, tyler perry",comedy,9/11/2009,tyler perry,lgf,lionsgate,2009,,english,"reuben cannon, tyler perry",tyler perry studios,Q3 2009,quad,flat,tyler perry,"51,733,921",-242,"2,255","2,255","27,872,109","8,600,660","10,398","23,446,785","2,255",113
golden kingdom,nr,,"ko yin maung sein, ko yin saw ri, ko yin than maung, ma moe aye, ma nan yunn, sayadaw u zaw ti ka, shine htet zaw, thein ngwe, u kyar",drama,6/17/2016,brian perkins,knlor,kino lorber,2017,,burmese,"brian perkins, matt o'connor",,Q2 2016,dolby srd,scope,brian perkins,"8,077",242,1,2,"4,183",0,554,554,1,103
born in china,g,,"john krasinski, xun zhou",documentary,4/21/2017,chuan lu,dis,disney,,,english,"brian leith, phil chapman, roy conli",disneynature,Q2 2017,quad,flat,"brian leith, chuan lu, david fowler, phil chapman","13,873,211",0,"1,508","1,508","6,434,031","1,581,795","3,177","4,790,367","1,508",79
elton john: the million dollar piano,nr,,elton john,"special events, concert",03/18/2014 (tue),event director,fthm,fathom events,2014,,english,,,Q1 2014,,,,0,105,0,0,0,0,0,0,0,120
divergent,pg13,,"ansel elgort, ashley judd, ben lamb, ben lloyd-hughes, christian madsen, jai courtney, kate winslet, maggie q, mekhi phifer, miles teller, ray stevenson, shailene woodley, theo james, tony goldwyn, zoe kravitz","action, adventure, science fiction",3/21/2014,neil burger,lgf,lionsgate,2014,,english,"douglas wick, lucy fisher, pouya shahbazian",red wagon entertainment,Q1 2014,dolby srd,"imax, scope","evan daugherty, vanessa taylor","150,947,895",137,"3,936","3,936","68,760,008","22,784,019","13,874","54,607,747","3,936",143
