title,metacritic_score
Citizen Kane,100
Boyhood,100
Three Colors: Red,100
The Godfather,100
Casablanca,100
Rear Window,100
Singin' in the Rain,99
The Treasure of the Sierra Madre,99
Moonlight,99
Pan's Labyrinth,98
North by Northwest,98
All About Eve,98
Hoop Dreams,98
Some Like It Hot,97
American Graffiti,97
Psycho,97
Gone with the Wind,97
"4 Months, 3 Weeks and 2 Days",97
My Left Foot,97
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,96
Spirited Away,96
Gravity,96
Mean Streets,96
Ratatouille,96
Ran,96
The Maltese Falcon,96
Rosemary's Baby,96
Manchester by the Sea,96
12 Angry Men,96
12 Years a Slave,96
I Am Not Your Negro,95
WALL-E,95
A Separation,95
Zero Dark Thirty,95
Double Indemnity,95
Faces Places,95
The Social Network,95
The Grapes of Wrath,95
Toy Story,95
Carol,95
Beauty and the Beast,95
Inside Out,94
Amour,94
Maborosi,94
Carlos,94
The Lord of the Rings: The Return of the King,94
Lady Bird,94
We Were Here,94
Apocalypse Now,94
Sideways,94
Mr. Turner,94
The Hurt Locker,94
Killer of Sheep,94
Pulp Fiction,94
The Manchurian Candidate,94
Taxi Driver,94
45 Years,94
The Man Who Shot Liberty Valance,94
Dunkirk,94
Before Midnight,94
The Decline of Western Civilization,93
Sherpa,93
Sita Sings the Blues,93
La La Land,93
Days of Heaven,93
Crumb,93
Inside Llewyn Davis,93
There Will Be Blood,93
Yi Yi,93
Toni Erdmann,93
Reversal of Fortune,93
"Crouching Tiger, Hidden Dragon",93
Call Me by Your Name,93
Spotlight,93
The Servant,93
Schindler's List,93
Timbuktu,92
Tower,92
The Look of Silence,92
Toy Story 3,92
Werckmeister Harmonies,92
The Best Years of Our Lives,92
Leviathan,92
The Lord of the Rings: The Fellowship of the Ring,92
Apocalypse Now Redux,92
Annie Hall,92
The Florida Project,92
Brother's Keeper,92
35 Shots of Rum,92
Platoon,92
Raging Bull,92
The Class,92
The Diving Bell and the Butterfly,92
One More Time with Feeling,92
The Rider,92
Patton,91
Waltz with Bashir,91
EX LIBRIS: The New York Public Library,91
Secrets & Lies,91
Nostalgia for the Light,91
The Right Stuff,91
No Country for Old Men,91
The Gatekeepers,91
Beau Travail,91
Ida,91
Do the Right Thing,91
Young Mr. Lincoln,91
Jafar Panahi's Taxi,91
Breaking Away,91
The Queen,91
The Triplets of Belleville,91
The African Queen,91
Cool Hand Luke,91
After Life,91
Atanarjuat: The Fast Runner,91
Moolaadé,91
Stories We Tell,91
Big Men,90
Gosford Park,90
Hannah and Her Sisters,90
American Splendor,90
A Prophet,90
Phantom Thread,90
Almost Famous,90
Hard to Be a God,90
The Fits,90
Dirty Harry,90
The Truman Show,90
United 93,90
Mad Max: Fury Road,90
Downhill Racer,90
Capturing the Friedmans,90
American Hustle,90
Paterson,90
Star Wars: Episode IV - A New Hope,90
Persepolis,90
The Incredibles,90
Before Sunset,90
Being John Malkovich,90
King Kong,90
My Voyage to Italy,90
Topsy-Turvy,90
13th,90
Foxtrot,90
Winter's Bone,90
Gett: The Trial of Viviane Amsalem,90
I Called Him Morgan,90
Close Encounters of the Third Kind,90
L.A. Confidential,90
Bloody Sunday,90
The Crying Game,90
Badlands,90
My Perestroika,90
Saving Private Ryan,90
After Hours,90
Finding Nemo,90
This Is Not a Film,90
It's Such a Beautiful Day,90
Paths of the Soul,90
The Sweet Hereafter,90
Her,90
National Gallery,89
Stop Making Sense,89
No End in Sight,89
It's a Wonderful Life,89
The Madness of King George,89
Phoenix,89
Goodbye Solo,89
Western,89
Goodfellas,89
Selma,89
The Artist,89
Eternal Sunshine of the Spotless Mind,89
The Piano,89
Blade Runner,89
Letters from Iwo Jima,89
The Seventh Continent (1989),89
Uncertain,89
"Two Days, One Night",89
Son of Saul,89
The Tale of The Princess Kaguya,89
Searching for Bobby Fischer,89
Lost in Translation,89
The Best of Youth,89
Hereditary,89
The Lives of Others,89
4 Little Girls,89
House of Flying Daggers,89
Columbus,89
The Overnighters,89
Assault on Precinct 13,89
The Last Detail,89
Man on Wire,89
Elle,89
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,89
The Act of Killing,89
Gangs of Wasseypur,89
Still Walking,89
Howards End,89
Up,88
The Blue Angel (re-release),88
Away from Her,88
The Fallen Idol (re-release),88
Network,88
Inside Job,88
Three Colors: White,88
Chicken Run,88
The King's Speech,88
Hell or High Water,88
Thelma & Louise,88
Nobody Knows,88
The Fugitive,88
Quiz Show,88
45365,88
Aquarius,88
Anomalisa,88
Toy Story 2,88
Black Panther,88
Birdman or (The Unexpected Virtue of Ignorance),88
Citizenfour,88
Life Is Sweet,88
Mary Poppins,88
Time Out,88
On the Waterfront,88
Blue Is the Warmest Color,88
Capote,88
Winter Sleep,88
Once,88
The Death of Stalin,88
The Arbor,88
Democrats,88
Ghost World,88
Brazil,88
Y Tu Mamá También,88
Paddington 2,88
The Little Mermaid,88
The Tale,88
Tulpan,88
Zama,88
The Grand Budapest Hotel,88
Manuscripts Don't Burn,88
Things to Come,88
A Film Unfinished,88
Quest,88
"Three Billboards Outside Ebbing, Missouri",88
Whiplash,88
In Transit,88
Rebel Without a Cause,87
Uncle Boonmee Who Can Recall His Past Lives,87
Harry Potter and the Deathly Hallows: Part 2,87
The Kid with a Bike,87
Cemetery of Splendor,87
Brokeback Mountain,87
The Birds,87
